"i","j","D_ij","civ_i","civ_j","civ_ij","comciv"
"AL","MZ",-1.220652,"islam","afric",NA,0
"AL","NC",-2.376589,"islam",NA,NA,0
"AL","NG",-11.24013,"islam","afric",NA,0
"AL","NI",-4.930261,"islam","latam",NA,0
"AL","NL",-6.025349,"islam","wstrn",NA,0
"AL","NO",-11.24013,"islam","wstrn",NA,0
"AL","NP",-0.7041143,"islam","hindu",NA,0
"AL","NZ",-11.24013,"islam","wstrn",NA,0
"AL","OM",-11.24013,"islam","islam","islam",1
"AL","PA",-11.24013,"islam","latam",NA,0
"AL","PE",-7.299435,"islam","latam",NA,0
"AL","PF",-0.3635842,"islam",NA,NA,0
"AL","PG",-2.303103,"islam","wstrn",NA,0
"AL","PH",0.7545547,"islam","wstrn",NA,0
"AL","PK",-2.576779,"islam","islam","islam",1
"AL","PL",-7.624199,"islam","wstrn",NA,0
"AL","PT",-5.539844,"islam","wstrn",NA,0
"AL","PY",-11.24013,"islam","latam",NA,0
"AL","QA",-5.873717,"islam","islam","islam",1
"AL","RU",-3.690366,"islam","ortho",NA,0
"AL","SA",-11.24013,"islam","islam","islam",1
"AL","SD",-11.24013,"islam","islam","islam",1
"AL","SE",0.6709537,"islam","wstrn",NA,0
"AL","SG",-11.24013,"islam","buddh",NA,0
"AL","SI",-6.086251,"islam","wstrn",NA,0
"AL","SK",-11.24013,"islam","wstrn",NA,0
"AL","SN",-11.24013,"islam","islam","islam",1
"AL","SR",-1.306968,"islam",NA,NA,0
"AL","SV",-1.734559,"islam","latam",NA,0
"AL","TH",-11.24013,"islam","buddh",NA,0
"AL","TN",0.6174458,"islam","islam","islam",1
"AL","TR",-11.24013,"islam","islam","islam",1
"AL","TT",-3.34556,"islam","wstrn",NA,0
"AL","TZ",-4.91182,"islam","afric",NA,0
"AL","UA",-11.24013,"islam","ortho",NA,0
"AL","UG",-2.471507,"islam","afric",NA,0
"AL","US",-5.753586,"islam","wstrn",NA,0
"AL","UY",-11.24013,"islam","latam",NA,0
"AL","UZ",-3.314674,"islam","islam","islam",1
"AL","VC",-11.24013,"islam","latam",NA,0
"AL","VE",-0.2925686,"islam","latam",NA,0
"AL","VI",-4.239934,"islam",NA,NA,0
"AL","VN",-4.72289,"islam","sinic",NA,0
"AL","YE",-1.136824,"islam","islam","islam",1
"AL","ZA",-3.244389,"islam","afric",NA,0
"AL","ZM",-5.589679,"islam","afric",NA,0
"AL","ZW",-0.1164305,"islam","afric",NA,0
"AM","AO",-11.24013,"ortho","afric",NA,0
"AM","AR",-3.288491,"ortho","latam",NA,0
"AM","AS",1.597936,"ortho",NA,NA,0
"AM","AT",-0.4913947,"ortho","wstrn",NA,0
"AM","AU",-1.98977,"ortho","wstrn",NA,0
"AM","AW",-2.247847,"ortho",NA,NA,0
"AM","AZ",-4.158932,"ortho","islam",NA,0
"AM","BA",0.3979358,"ortho","ortho","ortho",1
"AM","BB",-4.849609,"ortho","wstrn",NA,0
"AM","BD",-11.24013,"ortho","islam",NA,0
"AM","BE",-11.24013,"ortho","wstrn",NA,0
"AM","BF",-0.1743015,"ortho","afric",NA,0
"AM","BG",-3.335153,"ortho","ortho","ortho",1
"AM","BI",-0.4087094,"ortho","afric",NA,0
"AM","BM",-3.556588,"ortho","wstrn",NA,0
"AM","BN",-11.24013,"ortho","islam",NA,0
"AM","BO",-1.602479,"ortho","latam",NA,0
"AM","BR",-11.24013,"ortho","latam",NA,0
"AM","BS",-3.52358,"ortho","latam",NA,0
"AM","BT",-3.732797,"ortho",NA,NA,0
"AM","BW",-0.1482044,"ortho","afric",NA,0
"AM","BY",-0.5805785,"ortho","ortho","ortho",1
"AM","BZ",-11.24013,"ortho",NA,NA,0
"AM","CA",-2.730204,"ortho","wstrn",NA,0
"AM","CH",-3.323391,"ortho","wstrn",NA,0
"AM","CI",-5.092552,"ortho","afric",NA,0
"AM","CL",-2.310156,"ortho","latam",NA,0
"AM","CM",-1.785828,"ortho","afric",NA,0
"AM","CN",0.7589076,"ortho","sinic",NA,0
"AM","CO",-11.24013,"ortho","latam",NA,0
"AM","CR",-3.419162,"ortho","latam",NA,0
"AM","CY",-4.749665,"ortho","ortho","ortho",1
"AM","CZ",-0.815745,"ortho","wstrn",NA,0
"AM","DE",-11.24013,"ortho","wstrn",NA,0
"AM","DK",-0.615882,"ortho","wstrn",NA,0
"AM","DO",-11.24013,"ortho","latam",NA,0
"AM","DZ",-11.24013,"ortho","islam",NA,0
"AM","EC",-2.042159,"ortho","latam",NA,0
